순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,55730,폰세,한화,1.89,29,17,1,0,0,0.944,180 2/3,128,10,41,6,252,41,38,0.94
2,54640,네일,KIA,2.25,27,8,4,0,0,0.667,164 1/3,135,6,41,15,152,46,41,1.07
3,54833,앤더슨,SSG,2.25,30,12,7,0,0,0.632,171 2/3,121,13,51,9,245,53,43,1.00
4,53375,후라도,삼성,2.60,30,15,8,0,0,0.652,197 1/3,177,17,36,4,142,65,57,1.08
5,55239,잭로그,두산,2.81,30,10,8,0,1,0.556,176,146,8,39,17,156,66,55,1.05
6,54755,와이스,한화,2.87,30,16,5,0,0,0.762,178 2/3,127,13,56,13,207,63,57,1.02
7,61101,임찬규,LG,3.03,27,11,7,0,0,0.611,160 1/3,163,9,40,6,107,61,54,1.27
8,69446,원태인,삼성,3.24,27,12,4,0,0,0.750,166 2/3,157,20,27,6,108,66,60,1.10
9,64001,고영표,KT,3.30,29,11,8,0,0,0.579,161,170,10,30,15,154,70,59,1.24
10,50030,소형준,KT,3.30,26,10,7,1,0,0.588,147 1/3,155,6,29,3,123,60,54,1.25
11,55146,치리노스,LG,3.31,30,13,6,0,0,0.684,177,173,5,36,9,137,71,65,1.18
12,67143,손주영,LG,3.41,30,11,6,0,0,0.647,153,153,8,49,4,132,67,58,1.32
13,55903,라일리,NC,3.45,30,17,7,0,0,0.708,172,136,18,56,3,216,76,66,1.12
14,51111,송승기,LG,3.50,28,11,6,0,0,0.647,144,149,15,49,1,125,61,56,1.38
15,55633,올러,KIA,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15
16,54354,헤이수스,KT,3.96,32,9,9,0,1,0.500,163 2/3,173,17,44,8,165,85,72,1.33
17,55257,콜어빈,두산,4.48,28,8,12,0,0,0.400,144 2/3,142,9,79,18,128,80,72,1.53
18,55912,로건,NC,4.53,32,7,12,0,0,0.368,173,180,18,67,10,149,98,87,1.43
19,64021,박세웅,롯데,4.93,29,11,13,0,0,0.458,160 2/3,183,15,54,8,156,99,88,1.48
20,64350,하영민,키움,4.99,28,7,14,0,0,0.333,153 1/3,169,13,41,9,134,90,85,1.37
21,77829,김광현,SSG,5.00,28,10,10,0,0,0.500,144,164,13,50,4,138,86,80,1.49
22,77637,양현종,KIA,5.06,30,7,9,0,0,0.438,153,171,12,57,4,109,101,86,1.49
1,50904,이종준,LG,0.00,2,0,0,0,0,-,1 2/3,0,0,1,0,2,0,0,0.60
2,77263,김강률,LG,1.46,12,1,0,1,4,1.000,12 1/3,7,0,8,1,9,2,2,1.22
3,61145,이우찬,LG,1.89,23,0,1,0,0,0.000,19,13,0,14,1,20,6,4,1.42
4,55167,김영우,LG,2.40,66,3,2,1,7,0.600,60,49,2,30,3,56,17,16,1.32
5,50106,유영찬,LG,2.63,39,2,2,21,1,0.500,41,31,2,23,3,52,14,12,1.32
6,55130,톨허스트,LG,2.86,8,6,2,0,0,0.750,44,39,2,16,2,45,15,14,1.25
10,75867,김진성,LG,3.44,78,6,4,1,33,0.600,70 2/3,61,7,24,0,63,28,27,1.20
12,65109,백승현,LG,3.90,33,1,0,0,2,1.000,30,28,2,28,1,27,13,13,1.87
